Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2025-01-01T00:00+01:00,12487.84518,42259.71804,2.16
2025-01-01T01:00+01:00,12480.85784,42997.35203,1.6
2025-01-01T02:00+01:00,11862.01982,43469.40314,0
2025-01-01T03:00+01:00,11760.25861,41493.2429,-0.01
2025-01-01T04:00+01:00,11751.32131,41216.42827,-0.01
2025-01-01T05:00+01:00,11681.80785,41522.30035,-0.06
2025-01-01T06:00+01:00,11570.64366,43022.52581,-0.09
2025-01-01T07:00+01:00,11251.23094,44030.75064,-0.01
2025-01-01T08:00+01:00,10756.02587,45224.61404,-0.01
2025-01-01T09:00+01:00,10659.57414,46963.39066,-0.04
2025-01-01T10:00+01:00,10722.02544,52486.006,-0.03
2025-01-01T11:00+01:00,10738.77791,54742.46577,-0.1
2025-01-01T12:00+01:00,10431.35927,57207.2792,-0.05
2025-01-01T13:00+01:00,10355.31643,57806.69196,-0.1
2025-01-01T14:00+01:00,10339.65959,55681.69455,-1.01
2025-01-01T15:00+01:00,10395.79893,54947.75197,-0.01
2025-01-01T16:00+01:00,10655.55321,52840.50565,-0.01
2025-01-01T17:00+01:00,11028.37686,55099.45766,0.07
2025-01-01T18:00+01:00,11290.20454,54548.8667,1.01
2025-01-01T19:00+01:00,11445.29959,53181.25282,1.48
2025-01-01T20:00+01:00,11309.27398,53148.95441,1
2025-01-01T21:00+01:00,11386.27191,51863.72707,0.07
2025-01-01T22:00+01:00,11406.37539,50068.85133,10.05
2025-01-01T23:00+01:00,11443.90352,50189.98168,7.01
2025-01-02T00:00+01:00,11854.168,48071.11281,2.55
2025-01-02T01:00+01:00,11684.05196,47128.69559,1.56
2025-01-02T02:00+01:00,11388.12684,45388.63622,3.45
2025-01-02T03:00+01:00,11375.50139,44151.68072,7.02
2025-01-02T04:00+01:00,12648.20938,41815.54325,12.75
2025-01-02T05:00+01:00,14241.52718,40197.99298,30.07
2025-01-02T06:00+01:00,17308.1364,39377.64806,67.13
2025-01-02T07:00+01:00,21010.76211,36617.9556,98.83
2025-01-02T08:00+01:00,23871.96638,34007.37632,121.53
